source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:beverage,http://dbpedia.org/ontology/Beverage,equivalent,0.6149311,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:continent,http://dbpedia.org/ontology/Continent,equivalent,0.6184506,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:website,http://dbpedia.org/ontology/Website,equivalent,0.5521873,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:hotel,http://dbpedia.org/ontology/Hotel,equivalent,0.597481,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:stadiumoreventvenue,http://dbpedia.org/ontology/Stadium,equivalent,0.56477046,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:politicalparty,http://dbpedia.org/ontology/PoliticalParty,equivalent,0.61014473,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:election,http://dbpedia.org/ontology/Election,equivalent,0.59402287,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:grandprix,http://dbpedia.org/ontology/GrandPrix,equivalent,0.6332552,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:scientist,http://dbpedia.org/ontology/Scientist,equivalent,0.6124007,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:televisionshow,http://dbpedia.org/ontology/TelevisionShow,equivalent,0.5888994,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:park,http://dbpedia.org/ontology/Park,equivalent,0.6019725,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:director,http://dbpedia.org/ontology/MovieDirector,equivalent,0.50210124,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:academicfield,http://dbpedia.org/ontology/AcademicSubject,equivalent,0.5467209,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:programminglanguage,http://dbpedia.org/ontology/ProgrammingLanguage,equivalent,0.5983815,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:color,http://dbpedia.org/ontology/Colour,equivalent,0.5929287,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:sport,http://dbpedia.org/ontology/Sport,equivalent,0.60691196,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:televisionstation,http://dbpedia.org/ontology/TelevisionStation,equivalent,0.6067329,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:writer,http://dbpedia.org/ontology/Writer,equivalent,0.5769207,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:movie,http://dbpedia.org/ontology/Film,equivalent,0.5656487,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:bacteria,http://dbpedia.org/ontology/Bacteria,equivalent,0.6097314,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:shoppingmall,http://dbpedia.org/ontology/ShoppingMall,equivalent,0.5902704,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:musicgenre,http://dbpedia.org/ontology/MusicGenre,equivalent,0.62318337,Match based on Embeddings
http://rtw.ml.cmu.edu/rtw/kbbrowser/pred:lake,http://dbpedia.org/ontology/Lake,equivalent,0.60183835,Match based on Embeddings
