source_class_uri,target_class_uri,semantic_relation,similarity_score,justification
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dorrick,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Dorrick,equivalent,0.6678409,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Oteg,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Oteg,equivalent,0.65365446,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Voren_Renstaal%27s_Jedi_Master,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Voren_Renstaal%27s_Jedi_Master,equivalent,0.6875082,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ortosin,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Ortosin,equivalent,0.6665982,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nadia_Grell,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Nadia_Grell,equivalent,0.65966153,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Battle_of_Corbos,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Battle_of_Corbos,equivalent,0.6723911,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Muir,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Muir,equivalent,0.66332674,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Darth_Baras,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Darth_Baras,equivalent,0.6800961,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Force_healing,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Force_healing,equivalent,0.681961,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Watcher_Three,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Watcher_Three,equivalent,0.6683242,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Katarr,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Katarr,equivalent,0.6649253,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Pecto,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Pecto,equivalent,0.6573362,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Unidentified_Human_Jedi_(First_Jedi_Purge),http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Unidentified_Human_Jedi_(First_Jedi_Purge),equivalent,0.69319654,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Star_Map,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Star_Maps,equivalent,0.6608459,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/DN-314_Tunneler,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/DN-314_Tunneler,equivalent,0.6617884,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/HK-47,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/HK-47,equivalent,0.66065216,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Galactic_Solutions_Industries,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Galactic_Solutions_Industries,equivalent,0.67606,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Yollo,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Yollo,equivalent,0.6622662,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Wud_Mortull,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Wud_Mortull,equivalent,0.67068523,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Fortitude-class_assault_shuttle,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Fortitude-class_assault_shuttle,equivalent,0.68282163,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jorak_Uln,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Jorak_Uln,equivalent,0.66350305,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/property/previous,http://dbkwik.webdatacommons.org/swtor.wikia.com/property/previous,equivalent,0.66719866,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eagle,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/The_Eagle,equivalent,0.65146077,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Andronikos_Revel,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Andronikos_Revel,equivalent,0.6628248,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Akaavi_Spar,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Akaavi_Spar,equivalent,0.6673882,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Vomba,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Vomba,equivalent,0.6639442,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Selkath/Legends,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Selkath,equivalent,0.6138868,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Till%27in,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Till%27in,equivalent,0.66172,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/C86,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/C86,equivalent,0.66243637,Match based on Embeddings
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rhon_Jun%27yon,http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Rhon_Jun%27yon,equivalent,0.6613342,Match based on Embeddings
